momento;Ts_Valor
01-01-2015 0:00;16.0
01-01-2015 12:00;10.6
01-01-2015 13:00;14.4
01-01-2015 14:00;16.2
01-01-2015 15:00;18.4
01-01-2015 16:00;20.2
01-01-2015 17:00;22.2
01-01-2015 18:00;23.8
01-01-2015 19:00;24.8
01-01-2015 20:00;26.0
01-01-2015 21:00;26.0
01-01-2015 22:00;26.0
01-01-2015 23:00;24.8
02-01-2015 0:00;22.4
02-01-2015 12:00;12.9
02-01-2015 13:00;15.1
02-01-2015 14:00;17.6
02-01-2015 15:00;20.1
02-01-2015 16:00;22.4
02-01-2015 17:00;25.6
02-01-2015 18:00;26.9
02-01-2015 19:00;28.5
02-01-2015 20:00;29.5
02-01-2015 21:00;30.0
02-01-2015 22:00;30.0
02-01-2015 23:00;29.2
03-01-2015 0:00;27.7
03-01-2015 12:00;15.2
03-01-2015 13:00;18.0
03-01-2015 14:00;20.3
03-01-2015 15:00;23.0
03-01-2015 16:00;25.4
03-01-2015 17:00;28.0
03-01-2015 18:00;29.5
03-01-2015 19:00;31.0
03-01-2015 20:00;31.4
03-01-2015 21:00;32.0
03-01-2015 22:00;31.7
03-01-2015 23:00;30.9
04-01-2015 0:00;28.5
04-01-2015 12:00;15.8
04-01-2015 13:00;18.7
04-01-2015 14:00;21.4
04-01-2015 15:00;24.6
04-01-2015 16:00;27.0
04-01-2015 17:00;29.2
04-01-2015 18:00;30.6
04-01-2015 19:00;32.1
04-01-2015 20:00;33.4
04-01-2015 21:00;34.2
04-01-2015 22:00;34.0
04-01-2015 23:00;31.6
05-01-2015 0:00;28.0
05-01-2015 12:00;17.2
05-01-2015 13:00;19.5
05-01-2015 14:00;21.9
05-01-2015 15:00;23.6
05-01-2015 16:00;25.4
05-01-2015 17:00;27.2
05-01-2015 18:00;28.9
05-01-2015 19:00;30.3
05-01-2015 20:00;31.3
05-01-2015 21:00;31.0
05-01-2015 22:00;29.4
05-01-2015 23:00;27.7
06-01-2015 0:00;25.3
06-01-2015 12:00;13.6
06-01-2015 13:00;15.8
06-01-2015 14:00;18.4
06-01-2015 15:00;21.0
06-01-2015 16:00;23.7
06-01-2015 17:00;26.0
06-01-2015 18:00;27.3
06-01-2015 19:00;28.2
06-01-2015 20:00;29.2
06-01-2015 21:00;29.8
06-01-2015 22:00;29.5
06-01-2015 23:00;28.2
07-01-2015 0:00;26.6
07-01-2015 12:00;14.1
07-01-2015 13:00;15.8
07-01-2015 14:00;17.8
07-01-2015 15:00;19.4
07-01-2015 16:00;20.8
07-01-2015 17:00;22.8
07-01-2015 18:00;24.4
07-01-2015 19:00;26.0
07-01-2015 20:00;26.9
07-01-2015 21:00;28.0
07-01-2015 22:00;27.8
07-01-2015 23:00;27.4
08-01-2015 0:00;25.4
08-01-2015 12:00;14.9
08-01-2015 13:00;17.4
08-01-2015 14:00;20.0
08-01-2015 15:00;22.6
08-01-2015 16:00;24.8
08-01-2015 17:00;26.3
08-01-2015 18:00;27.8
08-01-2015 19:00;29.9
08-01-2015 20:00;30.8
08-01-2015 21:00;31.0
08-01-2015 22:00;31.0
08-01-2015 23:00;30.1
09-01-2015 0:00;27.6
09-01-2015 12:00;14.8
09-01-2015 13:00;17.8
09-01-2015 14:00;21.0
09-01-2015 15:00;23.9
09-01-2015 16:00;26.0
09-01-2015 17:00;27.8
09-01-2015 18:00;29.6
09-01-2015 19:00;30.5
09-01-2015 20:00;31.1
09-01-2015 21:00;31.2
09-01-2015 22:00;31.0
09-01-2015 23:00;30.2
10-01-2015 0:00;28.0
10-01-2015 1:00;25.0
10-01-2015 12:00;16.0
10-01-2015 13:00;18.2
10-01-2015 14:00;21.4
10-01-2015 15:00;23.7
10-01-2015 16:00;25.8
10-01-2015 17:00;27.4
10-01-2015 18:00;29.2
10-01-2015 19:00;31.0
10-01-2015 20:00;31.6
10-01-2015 21:00;31.4
10-01-2015 22:00;30.6
10-01-2015 23:00;29.2
11-01-2015 0:00;26.6
11-01-2015 12:00;14.8
11-01-2015 13:00;18.3
11-01-2015 14:00;21.4
11-01-2015 15:00;24.4
11-01-2015 16:00;26.2
11-01-2015 17:00;28.0
11-01-2015 18:00;29.6
11-01-2015 19:00;30.7
11-01-2015 20:00;31.2
11-01-2015 21:00;31.1
11-01-2015 22:00;30.2
11-01-2015 23:00;28.1
12-01-2015 0:00;25.6
12-01-2015 12:00;14.8
12-01-2015 13:00;16.8
12-01-2015 14:00;19.8
12-01-2015 15:00;21.8
12-01-2015 16:00;24.2
12-01-2015 17:00;25.9
12-01-2015 18:00;27.3
12-01-2015 19:00;28.4
12-01-2015 20:00;29.0
12-01-2015 21:00;29.6
12-01-2015 22:00;29.0
12-01-2015 23:00;27.8
13-01-2015 0:00;25.6
13-01-2015 12:00;14.3
13-01-2015 13:00;17.2
13-01-2015 14:00;20.2
13-01-2015 15:00;22.8
13-01-2015 16:00;25.0
13-01-2015 17:00;26.6
13-01-2015 18:00;27.8
13-01-2015 19:00;28.8
13-01-2015 20:00;29.4
13-01-2015 21:00;29.6
13-01-2015 22:00;29.2
13-01-2015 23:00;28.2
14-01-2015 0:00;26.0
14-01-2015 12:00;15.5
14-01-2015 13:00;17.9
14-01-2015 14:00;20.6
14-01-2015 15:00;22.8
14-01-2015 16:00;25.0
14-01-2015 17:00;26.8
14-01-2015 18:00;28.6
14-01-2015 19:00;30.0
14-01-2015 20:00;30.7
14-01-2015 21:00;31.3
14-01-2015 22:00;31.1
14-01-2015 23:00;30.2
15-01-2015 0:00;28.3
15-01-2015 1:00;25.2
15-01-2015 12:00;15.8
15-01-2015 13:00;17.8
15-01-2015 14:00;21.0
15-01-2015 15:00;23.4
15-01-2015 16:00;26.2
15-01-2015 17:00;28.6
15-01-2015 18:00;30.2
15-01-2015 19:00;31.6
15-01-2015 20:00;32.4
15-01-2015 21:00;33.0
15-01-2015 22:00;32.5
15-01-2015 23:00;31.0
16-01-2015 0:00;28.2
16-01-2015 12:00;16.8
16-01-2015 13:00;19.2
16-01-2015 14:00;22.2
16-01-2015 15:00;24.8
16-01-2015 16:00;27.4
16-01-2015 17:00;28.8
16-01-2015 18:00;31.0
16-01-2015 19:00;31.8
16-01-2015 20:00;32.7
16-01-2015 21:00;32.4
16-01-2015 22:00;31.8
16-01-2015 23:00;30.2
17-01-2015 0:00;28.8
17-01-2015 12:00;19.2
17-01-2015 13:00;21.7
17-01-2015 14:00;24.2
17-01-2015 15:00;26.0
17-01-2015 16:00;28.2
17-01-2015 17:00;30.0
17-01-2015 18:00;31.9
17-01-2015 19:00;32.7
17-01-2015 20:00;33.8
17-01-2015 21:00;33.9
17-01-2015 22:00;33.3
17-01-2015 23:00;32.2
18-01-2015 0:00;30.4
18-01-2015 12:00;18.0
18-01-2015 13:00;20.4
18-01-2015 14:00;23.2
18-01-2015 15:00;26.4
18-01-2015 16:00;27.7
18-01-2015 17:00;29.5
18-01-2015 18:00;30.5
18-01-2015 19:00;31.6
18-01-2015 20:00;32.0
18-01-2015 21:00;32.6
18-01-2015 22:00;31.6
18-01-2015 23:00;28.5
19-01-2015 0:00;26.3
19-01-2015 12:00;15.8
19-01-2015 13:00;18.0
